Fragrance Note,Image,Group,Description
Cetalox,https://fimgs.net/mdimg/sastojci/m.564.jpg?1442963041,"MUSK, AMBER, ANIMALIC SMELLS",NULL
Cheese,https://fimgs.net/mdimg/sastojci/m.579.jpg?1598590077,"MUSK, AMBER, ANIMALIC SMELLS",NULL
Civet,https://fimgs.net/mdimg/sastojci/m.104.jpg?1442952987,"MUSK, AMBER, ANIMALIC SMELLS","Naturally the byproduct of the anal glands of exotic civet cats (technically no cats), which smells very pungent and fecal but which gives an amazing radiance and warmth to florals. Now synthetically replicated with civetone for ethical reasons."
Coral Reef,https://fimgs.net/mdimg/sastojci/m.708.jpg?1437651211,"MUSK, AMBER, ANIMALIC SMELLS",NULL
Daim,https://fimgs.net/mdimg/sastojci/m.825.jpg?1511718301,"MUSK, AMBER, ANIMALIC SMELLS",NULL
Genet,https://fimgs.net/mdimg/sastojci/m.552.jpg?1442953537,"MUSK, AMBER, ANIMALIC SMELLS",NULL
Goat hair,https://fimgs.net/mdimg/sastojci/m.412.jpg?1441599660,"MUSK, AMBER, ANIMALIC SMELLS","natural essence coming from the tinctured hair of a rutting billy goat, used by natural perfumers as an ethically harvested animalic note. Warm and musk-like"
Hyraceum,https://fimgs.net/mdimg/sastojci/m.411.jpg?1442953282,"MUSK, AMBER, ANIMALIC SMELLS","Essence from the small rodent hyrax's dried up crystalline fecal matter, combining olfactory facets of musk, civet and castoreum.
Odor  animal, warm, phenolic, fecal, urinal"
Kephalis,https://fimgs.net/mdimg/sastojci/m.399.jpg?1442963777,"MUSK, AMBER, ANIMALIC SMELLS","Synthetic note with woody-ambery facets, resembling cedar, that blends well with florals and tobacco, very popular with modern fragrances"
Leather,https://fimgs.net/mdimg/sastojci/m.156.jpg?1444596443,"MUSK, AMBER, ANIMALIC SMELLS","Synthetic or naturally derived note of pungent characteristics, reminiscent of cured hides and leather goods. Usually rendered by birch tar or by synth isoquinolines."
Meat,https://fimgs.net/mdimg/sastojci/m.513.jpg?1441599000,"MUSK, AMBER, ANIMALIC SMELLS",novelty note synthetically reproduced replicating the savory scent of cooked meat
Milk,https://fimgs.net/mdimg/sastojci/m.199.jpg?1441598422,"MUSK, AMBER, ANIMALIC SMELLS","A warm, comfortable gourmand, but not too sweet note."
Musk,https://fimgs.net/mdimg/sastojci/m.4.jpg?1598555090,"MUSK, AMBER, ANIMALIC SMELLS","There is a wide variety of sources for musk smelling materials, including synthetic musks and natural ones, mainly obtained from plants, since deer musk is forbidden to obtain and sell. The musk is a secretion inside an internal pouch on the abdomen of the male deer. In order to get it, you have to kill the deer."
Oysters,https://fimgs.net/mdimg/sastojci/m.711.jpg?1598723388,"MUSK, AMBER, ANIMALIC SMELLS",NULL
Sea shells,https://fimgs.net/mdimg/sastojci/m.410.jpg?1598578770,"MUSK, AMBER, ANIMALIC SMELLS",A natural or synthetic savory note.
Skin,https://fimgs.net/mdimg/sastojci/m.882.jpg?1598569163,"MUSK, AMBER, ANIMALIC SMELLS",A comfortable warm scent of clean skin – powdery musky.
Starfish,https://fimgs.net/mdimg/sastojci/m.217.jpg?1441598565,"MUSK, AMBER, ANIMALIC SMELLS",A marine note.
Suede,https://fimgs.net/mdimg/sastojci/m.196.jpg?1442954347,"MUSK, AMBER, ANIMALIC SMELLS","A synthetic note which replicates the soft, pliable, sensuous feel of suede on the skin. Soft, powdery, musky."
Sylkolide,https://fimgs.net/mdimg/sastojci/m.928.jpg?1598661501,"MUSK, AMBER, ANIMALIC SMELLS",A musk amber synthetic molecule.
Tolu Balsam,https://fimgs.net/mdimg/sastojci/m.71.jpg?1442947248,"MUSK, AMBER, ANIMALIC SMELLS",a sweet amber balsamic fragrance.
Truffle,https://fimgs.net/mdimg/sastojci/m.335.jpg?1442949547,"MUSK, AMBER, ANIMALIC SMELLS",a very special gourmand warm and inviting fragrance.
Absinthe,https://fimgs.net/mdimg/sastojci/m.717.jpg?1444420176,BEVERAGES,NULL
Amaretto,https://fimgs.net/mdimg/sastojci/m.267.jpg?1441487737,BEVERAGES,"Fantasy note reminiscent of bitter almond (the actual liqueur is made from apricot pits which have an almondy nuance), usual in gourmand perfumes."
Applejack,https://fimgs.net/mdimg/sastojci/m.1093.jpg?1615508712,BEVERAGES,NULL
Baileys Irish Cream,https://fimgs.net/mdimg/sastojci/m.870.jpg?1521160281,BEVERAGES,NULL
Beer/Ale,https://fimgs.net/mdimg/sastojci/m.965.jpg?1598644694,BEVERAGES,A fantasy savory note of the popular beverage. 
Bellini,https://fimgs.net/mdimg/sastojci/m.312.jpg?1441488020,BEVERAGES,"A fantasy note which has a peachy, sparkling effect in perfume compositions. Pairs well with creamy and feminine florals."
Blue Margarita,https://fimgs.net/mdimg/sastojci/m.780.jpg?1453757456,BEVERAGES,NULL
Bourbon Whiskey,https://fimgs.net/mdimg/sastojci/m.939.jpg?1598586386,BEVERAGES,NULL
Caipirinha,https://fimgs.net/mdimg/sastojci/m.664.jpg?1424481019,BEVERAGES,NULL
Campari,https://fimgs.net/mdimg/sastojci/m.388.jpg?1441488828,BEVERAGES,"Bitters fantasy note, useful for sparkle and vibrancy"
Cappuccino,https://fimgs.net/mdimg/sastojci/m.246.jpg?1441491511,BEVERAGES,"A smooth, delicious note of coffee and milky lactonic facets, useful in gourmand compositions."
Champagne,https://fimgs.net/mdimg/sastojci/m.400.jpg?1441498366,BEVERAGES,"A sparkling, fizzy note (aldehydes, citrus, fruits, spice)."
Chinotto,https://fimgs.net/mdimg/sastojci/m.803.jpg?1598724634,BEVERAGES,A beverage made from a certain citrus fruit – Citrus myrtifolia.
Coca-Cola,https://fimgs.net/mdimg/sastojci/m.362.jpg?1441489150,BEVERAGES,"A combined effect of the following essences cinnamon, lime, lemon, orange, coriander, vanilla and nutmeg, much like in the actual soft drink. "
Cognac,https://fimgs.net/mdimg/sastojci/m.280.jpg?1441486859,BEVERAGES,"A spicy rich, fruity oaky note wth amber woody undertones."
Cognac,https://fimgs.net/mdimg/sastojci/m.523.jpg?1441499173,BEVERAGES,"a variation on Cognac from Eastern Europe, complex, deep, oaky and with delicious depth"
Cosmopolitan cocktail,https://fimgs.net/mdimg/sastojci/m.648.jpg?1408378954,BEVERAGES,NULL
Cream Soda,https://fimgs.net/mdimg/sastojci/m.477.jpg?1441489540,BEVERAGES,a vanilla-laced soft drink note which can be sometimes detected in gourmand compositions.
Curacao,https://fimgs.net/mdimg/sastojci/m.220.jpg?1441490294,BEVERAGES,"Novelty fantasy note with bitter orange facets and a tropical feel. Usually pairs well with other ""beverages"" notes such as coffee or rum."
Daiquiri,https://fimgs.net/mdimg/sastojci/m.742.jpg?1449544432,BEVERAGES,NULL
Eau de vie,https://fimgs.net/mdimg/sastojci/m.647.jpg?1441490948,BEVERAGES,NULL
Gin,https://fimgs.net/mdimg/sastojci/m.299.jpg?1441490689,BEVERAGES,"a classic juniper berry note which appears in gin liquor, bracing, mind-clearing, exhilarating, useful in woody, fougere and chypre compositions to give a piquant start."
Grenadine,https://fimgs.net/mdimg/sastojci/m.311.jpg?1441491311,BEVERAGES,a fantasy sweet fruity note.
Hi-Fi,https://fimgs.net/mdimg/sastojci/m.758.jpg?1452573084,BEVERAGES,NULL
Jasmine Tea,https://fimgs.net/mdimg/sastojci/m.772.jpg?1453403803,BEVERAGES,a fresh fantasy note
Kir Royal,https://fimgs.net/mdimg/sastojci/m.576.jpg?1362479793,BEVERAGES,A fantasy note of the cocktail Kir Royal – sweet black currant and champagne. 
Lemonade,https://fimgs.net/mdimg/sastojci/m.455.jpg?1441496614,BEVERAGES,classic tart lemon and fruity sweetness note which is refreshing and almost feels thirst-quenching in fragrances. Contrary to lemon essential oil and lemon rind it has no floral or resinous components.
Limoncello,https://fimgs.net/mdimg/sastojci/m.440.jpg?1441496283,BEVERAGES,"intense lemon, bittersweet fantasy note that is perfect to give a gourmand or modern oriental a tart and succulent opening"
Liquor,https://fimgs.net/mdimg/sastojci/m.727.jpg?1587009298,BEVERAGES,a general scent of aromatic alcohol. 
Madeira,https://fimgs.net/mdimg/sastojci/m.743.jpg?1450829101,BEVERAGES,NULL
Mai Tai Cocktail,https://fimgs.net/mdimg/sastojci/m.665.jpg?1598721940,BEVERAGES,NULL
Martini,https://fimgs.net/mdimg/sastojci/m.420.jpg?1441497074,BEVERAGES,"dry, sophisticated and fun fantasy note reminiscent of the classic cocktail, useful for dry and refreshing fragrance compositions"
Masala Chai,https://fimgs.net/mdimg/sastojci/m.214.jpg?1598579526,BEVERAGES,"A variation of the sweet, spicy tea blend which has soothing, comforting facets to its odor profile. Fantasy note which is featured in Omnia by Bvlgari."
Mojito,https://fimgs.net/mdimg/sastojci/m.300.jpg?1441497291,BEVERAGES,"a fresh fantasy note reminiscent of mojito (lime, mint)."
Pina Colada,https://fimgs.net/mdimg/sastojci/m.282.jpg?1500285747,BEVERAGES,"tropical, sweet note that recalls the famous cocktail, with nuances of creamy coconut and fruity pineapple. Frequent in ""gourmand"" and ""fresh"" compositions."
Pisco Sour cocktail,https://fimgs.net/mdimg/sastojci/m.1050.jpg?1591009795,BEVERAGES,NULL
Plum Wine,https://fimgs.net/mdimg/sastojci/m.1138.jpg?1622049284,BEVERAGES,NULL
Port Wine,https://fimgs.net/mdimg/sastojci/m.950.jpg?1550368833,BEVERAGES,NULL
Prosecco,https://fimgs.net/mdimg/sastojci/m.1045.jpg?1584801137,BEVERAGES,NULL
Punch,https://fimgs.net/mdimg/sastojci/m.581.jpg?1598598819,BEVERAGES,NULL
Raki,https://fimgs.net/mdimg/sastojci/m.751.jpg?1451771322,BEVERAGES,NULL
Red Wine,https://fimgs.net/mdimg/sastojci/m.464.jpg?1441489973,BEVERAGES,NULL
Rhum agricole,https://fimgs.net/mdimg/sastojci/m.1102.jpg?1616011284,BEVERAGES,A fantasy note of sugarcane juice rum
Rum,https://fimgs.net/mdimg/sastojci/m.201.jpg?1441498126,BEVERAGES,"a complex, sweet and aromatic chord that brings on succulence and molasses-tinged nuances to gourmands and woody fragrances."
sake,https://fimgs.net/mdimg/sastojci/m.734.jpg?1598600004,BEVERAGES,NULL
Sangria,https://fimgs.net/mdimg/sastojci/m.699.jpg?1598723009,BEVERAGES,NULL
Syrup,https://fimgs.net/mdimg/sastojci/m.997.jpg?1560619153,BEVERAGES,NULL
Tequila,https://fimgs.net/mdimg/sastojci/m.424.jpg?1441498788,BEVERAGES,"fantasy note reminiscent of the drink made from blue agave, a cactus. Salty and bittersweet, used in a variety of tropical or fresgh fragrance blends."
Tokaji wine,https://fimgs.net/mdimg/sastojci/m.652.jpg?1500285911,BEVERAGES,NULL
Tonic Water,https://fimgs.net/mdimg/sastojci/m.660.jpg?1419931660,BEVERAGES,NULL
Vermouth,https://fimgs.net/mdimg/sastojci/m.628.jpg?1397376570,BEVERAGES,NULL
Vodka,https://fimgs.net/mdimg/sastojci/m.203.jpg?1441499464,BEVERAGES,a mild alcoholic note of slight aromatic piquancy.
Whiskey,https://fimgs.net/mdimg/sastojci/m.210.jpg?1441499750,BEVERAGES,"a complex note that comprises facets of sweet hay, oak barrels, chocolate, dried fruits, honey, and mild spices. Sophisticated, warm and deep, usual in orientals, woody fragrances and some chypres."
White wine,https://fimgs.net/mdimg/sastojci/m.543.jpg?1441488408,BEVERAGES,a fruity note reminiscent of white wine.
Wine Lees,https://fimgs.net/mdimg/sastojci/m.1004.jpg?1566095199,BEVERAGES,NULL
Accord Eudora®,https://fimgs.net/mdimg/sastojci/m.1091.jpg?1614524726,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Aldehydes,https://fimgs.net/mdimg/sastojci/m.165.jpg?1441565576,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD","An abstract soapy, fatty, fresh smell, reminiscent of fresh laundry and frost."
Aluminum,https://fimgs.net/mdimg/sastojci/m.456.jpg?1441502367,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",An artificial metallic fresh note. 
Ammonia,https://fimgs.net/mdimg/sastojci/m.1064.jpg?1603338558,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Amyl Salicylate,https://fimgs.net/mdimg/sastojci/m.347.jpg?1598569581,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",a fresh fruity floral green fragrance reminiscent of unripe banana
Antillone™,https://fimgs.net/mdimg/sastojci/m.1136.jpg?1621992655,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Aquozone,https://fimgs.net/mdimg/sastojci/m.1039.jpg?1581964432,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD","Created by Firmenich, an aquatic marine scent."
Ash,https://fimgs.net/mdimg/sastojci/m.627.jpg?1441513217,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Asphalt,https://fimgs.net/mdimg/sastojci/m.556.jpg?1441502552,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Blood,https://fimgs.net/mdimg/sastojci/m.1038.jpg?1581409713,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",A disturbing fresh metallic nuance.
Boisiris,https://fimgs.net/mdimg/sastojci/m.920.jpg?1599066235,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",Boisiris has an elegant powdery woody scent with orris and warm tobacco/amber understones.
Brick,https://fimgs.net/mdimg/sastojci/m.843.jpg?1516743908,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Brown Scotch Tape,https://fimgs.net/mdimg/sastojci/m.511.jpg?1441500766,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD","Fantasy note with a glue and plastic scent used in avant-garde releases, such as Comme des Garcons"
Burnt Match,https://fimgs.net/mdimg/sastojci/m.657.jpg?1418438932,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Calone,https://fimgs.net/mdimg/sastojci/m.423.jpg?1543368897,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD","a synthetic note composed to reproduce the light, airy and aqueous feel of watermelon/melon. "
Calypsone,https://fimgs.net/mdimg/sastojci/m.1032.jpg?1598662683,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD","It is a molecule by Givaudan. It smells ozonic, like sea breeze, with fruity watermelon nuances."
Camphor,https://fimgs.net/mdimg/sastojci/m.404.jpg?1441254877,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD","white crystals that smell like mothballs, this note is used to render a bracing, intensely green and pungent note that cuts through the intense sweetness and decay of some white flowers. Especially infamous in Tubereuse Criminelle by Lutens and Carnal Flower by F.Malle where it balances the tuberose."
Caoutchouc,https://fimgs.net/mdimg/sastojci/m.620.jpg?1598656957,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",It is a naturally sourced rubber material.
Cascalone,https://fimgs.net/mdimg/sastojci/m.706.jpg?1598580301,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",A note of fresh water with a fruity hue.
Cashmeran,https://fimgs.net/mdimg/sastojci/m.348.jpg?1585703151,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD","A popular synthetic accord with a soft diffusive warm woody musky amber scent, reminiscent of cashmere wool. "
Clay,https://fimgs.net/mdimg/sastojci/m.403.jpg?1441514569,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",A note is reminiscent of terra-cotta tiles and the muddy scent of earth. Often a product of composition rather than a specific synthetic.
CO2 Extracts,https://fimgs.net/mdimg/sastojci/m.783.jpg?1453864857,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Coal,https://fimgs.net/mdimg/sastojci/m.554.jpg?1441519280,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Cobblestone,https://fimgs.net/mdimg/sastojci/m.973.jpg?1554919610,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Cocaine,https://fimgs.net/mdimg/sastojci/m.1114.jpg?1618481166,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Concrete,https://fimgs.net/mdimg/sastojci/m.936.jpg?1547929281,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Coral Limestone,https://fimgs.net/mdimg/sastojci/m.1109.jpg?1618454129,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Coranol,https://fimgs.net/mdimg/sastojci/m.895.jpg?1534403735,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",It is a Firmenich molecule with a fresh floral rosy scent.
Cork,https://fimgs.net/mdimg/sastojci/m.844.jpg?1516744512,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Cosmone,https://fimgs.net/mdimg/sastojci/m.922.jpg?1599066574,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD","A ""white musk"" scent with pleasantly sweetish, anisic undertones."
Coumarin,https://fimgs.net/mdimg/sastojci/m.259.jpg?1441303342,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD","the odor profile depends on the quantity of the material it can be herbal like hay, or sweet and warm like caramelized almonds."
Damascone,https://fimgs.net/mdimg/sastojci/m.1121.jpg?1621018430,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Dew Drop,https://fimgs.net/mdimg/sastojci/m.798.jpg?1456082222,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",A fresh natural note of water usually paired with flowers or green notes.
Dihydromyrcenol,https://fimgs.net/mdimg/sastojci/m.1076.jpg?1612580454,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Dodecanal,https://fimgs.net/mdimg/sastojci/m.902.jpg?1536699146,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Earth tincture,https://fimgs.net/mdimg/sastojci/m.415.jpg?1441563337,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD","Essence used by perfumers to render a note of dirt, as in gardening or earth dust."
Earthy Notes,https://fimgs.net/mdimg/sastojci/m.801.jpg?1585803554,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD","Earthy notes are sourced from different ingredients moss, orris root, vetiver, etc."
Ember,https://fimgs.net/mdimg/sastojci/m.589.jpg?1368235156,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Ethyl Maltol,https://fimgs.net/mdimg/sastojci/m.836.jpg?1514994510,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",a warm-fruity caramel sweet jam-like odor with an aspect of cotton candy.
Eugenol,https://fimgs.net/mdimg/sastojci/m.894.jpg?1534180612,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Fabric,https://fimgs.net/mdimg/sastojci/m.953.jpg?1598652459,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",A fantasy clean note.
Fire,https://fimgs.net/mdimg/sastojci/m.960.jpg?1551500376,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Fish,https://fimgs.net/mdimg/sastojci/m.991.jpg?1558573687,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Flint,https://fimgs.net/mdimg/sastojci/m.712.jpg?1598590369,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Galaxolide,https://fimgs.net/mdimg/sastojci/m.887.jpg?1598640294,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",Galaxolide is a synthetic musk with a lightweight clean pleasant somewhat fruity fragrance.
Gasoline,https://fimgs.net/mdimg/sastojci/m.845.jpg?1517001028,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Geosmin,https://fimgs.net/mdimg/sastojci/m.546.jpg?1441514090,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD","Synthetic note, originally composed in nature by Streptomyces bacteria among other components such as the Germacradienol synthase enzyme. It contributes the effect of rained upon earth, very easily detectable and beloved by humans."
Graphite,https://fimgs.net/mdimg/sastojci/m.831.jpg?1599014207,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Guaiacol,https://fimgs.net/mdimg/sastojci/m.1139.jpg?1622226141,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Gunpowder,https://fimgs.net/mdimg/sastojci/m.485.jpg?1441513503,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD","Fantasy note with peppery, sulfurous and pyrocaustic/firecracker facets."
Head Space Waterfall,https://fimgs.net/mdimg/sastojci/m.755.jpg?1598659996,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",A note of fresh water obtained by a head space technique. 
Hedione,https://fimgs.net/mdimg/sastojci/m.640.jpg?1598561249,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",A fresh floral fragrance reminiscent of jasmine with green nuances.
Helvetolide,https://fimgs.net/mdimg/sastojci/m.924.jpg?1543369643,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Hina,https://fimgs.net/mdimg/sastojci/m.775.jpg?1499756042,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Hot iron,https://fimgs.net/mdimg/sastojci/m.591.jpg?1368236114,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Ice,https://fimgs.net/mdimg/sastojci/m.856.jpg?1588390270,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Indole,https://fimgs.net/mdimg/sastojci/m.528.jpg?1441299140,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD","in pure form indole smells like mothballs, camphor green and intense; in white flowers such as jasmine, tuberose and orange blossom it adds a deep animalic, slightly fecal tonality"
Industrial Glue,https://fimgs.net/mdimg/sastojci/m.512.jpg?1441501188,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD","Powerful synthetic feel, meant as a novelty note in modern compositions, notably Comme des Garcon"
Ink,https://fimgs.net/mdimg/sastojci/m.539.jpg?1441514925,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",A fantasy note that is reminiscent of India ink. Ink notes are also surfacing from natural materials such as oakmoss.
Instant film accord,https://fimgs.net/mdimg/sastojci/m.828.jpg?1512156850,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Iso E Super,https://fimgs.net/mdimg/sastojci/m.422.jpg?1585802823,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",a synthetic woody cozy ambery musky note.
Isobutyl Quinoline,https://fimgs.net/mdimg/sastojci/m.925.jpg?1598661335,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",A strong leather woody smoky note with sharp earthy nuances of oakmoss.
Javanol,https://fimgs.net/mdimg/sastojci/m.915.jpg?1598660847,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",A synthetic sandalwood fragrance.
Jeans,https://fimgs.net/mdimg/sastojci/m.765.jpg?1598723818,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
latex,https://fimgs.net/mdimg/sastojci/m.1104.jpg?1618989370,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Lava,https://fimgs.net/mdimg/sastojci/m.833.jpg?1598660386,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",A fantasy note of hot fiery lava. 
Linen,https://fimgs.net/mdimg/sastojci/m.857.jpg?1598586107,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Lip gloss,https://fimgs.net/mdimg/sastojci/m.999.jpg?1560880371,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Lipstick,https://fimgs.net/mdimg/sastojci/m.883.jpg?1529436920,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Lorenox,https://fimgs.net/mdimg/sastojci/m.544.jpg?1543369961,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD","a complex accord developed by Mane which can be described as woody, ambery, leathery, aromatic."
Magnolan,https://fimgs.net/mdimg/sastojci/m.964.jpg?1599067637,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD","A Symrise molecule with a scent of natural magnolia (hints of citrus, lily of the valley, floral dewy freshness)."
Mahonial,https://fimgs.net/mdimg/sastojci/m.990.jpg?1598662302,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD","A molecule by Givaudan, a nice offer to replace gentle floral lyral, lilial. "
Melonal,https://fimgs.net/mdimg/sastojci/m.1103.jpg?1618989542,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Metallic notes,https://fimgs.net/mdimg/sastojci/m.458.jpg?1441515162,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",An artificial fresh fragrance.
Mineral notes,https://fimgs.net/mdimg/sastojci/m.820.jpg?1587007676,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",an abstract expressly synthetic note.
Mitti Attar,https://fimgs.net/mdimg/sastojci/m.799.jpg?1598596374,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Molasses,https://fimgs.net/mdimg/sastojci/m.767.jpg?1598724124,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Motor Oil,https://fimgs.net/mdimg/sastojci/m.938.jpg?1598661832,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Mountain Air,https://fimgs.net/mdimg/sastojci/m.679.jpg?1598567328,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Mugane,https://fimgs.net/mdimg/sastojci/m.1041.jpg?1583056556,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",A captive floral molecule by MANE.
NaturalCalm™,https://fimgs.net/mdimg/sastojci/m.764.jpg?1452741278,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Neoprene,https://fimgs.net/mdimg/sastojci/m.670.jpg?1427918098,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Norlimbanol™,https://fimgs.net/mdimg/sastojci/m.1092.jpg?1618989819,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Ozonic notes,https://fimgs.net/mdimg/sastojci/m.669.jpg?1427917954,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",A fresh fantasy accord.
Paper,https://fimgs.net/mdimg/sastojci/m.756.jpg?1452498581,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Para-Cresyl Phenyl Acetate,https://fimgs.net/mdimg/sastojci/m.876.jpg?1523277626,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD","Para-Cresyl Phenyl Acetate is a resemblance to sweet narcotic floral bouquet consisted of rose, narcissus, ylang-ylang, lily, hyacinth, narcissus, tuberose, lily-of-the-valley and so on. It also has a urine, medicinal, phenolic and honey like scent."
Paradisone,https://fimgs.net/mdimg/sastojci/m.992.jpg?1558635355,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Pearls,https://fimgs.net/mdimg/sastojci/m.1120.jpg?1621017640,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Peat,https://fimgs.net/mdimg/sastojci/m.479.jpg?1441518989,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD","Dry, bitter, malt-like essence with hint of smokiness used to render novel effects in modern fragrances."
Pebbles,https://fimgs.net/mdimg/sastojci/m.457.jpg?1441518106,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Petalia,https://fimgs.net/mdimg/sastojci/m.617.jpg?1604002029,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD","It has a fresh floral scent of peony, lily-of-the-valley, rose with a fruity undertone. Very fresh, light and diffusive."
Plastic,https://fimgs.net/mdimg/sastojci/m.954.jpg?1598652814,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Pollen,https://fimgs.net/mdimg/sastojci/m.896.jpg?1598640646,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",A sweet powdery honey-like floral fragrance.
Pomarose,https://fimgs.net/mdimg/sastojci/m.872.jpg?1521746149,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",A Givaudan captive material with a powerful rose fruity smell.
